id,name,description
adam,亚当,
anarch,反叛者,"王侯将相，宁有种乎。
在被公司控制了几个世纪之后，市场法则似乎已经像物理法则一样实实在在，牢不可破。当你无法再忍受“理智地”活下去的时候，你只能去尝试一些不可能的事情。而有时，这竟然成功了：这是因为我们为此孤注一掷，更因为我们一直以来被欺骗了——其实一切皆有可能。
驱使着反叛者的激情一如他们所采用的破坏性战术那般多种多样。对于公司来说，他们是能让事先准备好的应对方案统统变成废纸的对手。反叛者的行为无法预测，他们不断挑战极限，他们潜袭是为了更好的未来。"
apex,尖峰,
criminal,逆法者,"一些潜袭者发现，唯一能在体制内出人头地的方法就是绕过体制本身。
这些逆法者知道引起别人的注意并非明智之举，因此他们隐藏踪迹，偷偷潜入公司帐户，或是混入人群，假装自己是一位可信的朋友，以获得他们不应拥有的权限。逆法者潜袭是因为有利可图，无论是通过吸走资金还是通过将公司机密卖给最高出价者。
只要还有办法从潜袭中获利，逆法者就会继续潜袭。"
haas_bioroid,哈斯生化,"哈斯生化在义体与人工智能方面世界领先，其最知名的产品便是与公司同名的生化人——即由义体构成、由脑录技术驱动的安卓机器人。制造生化人的流程已经先进到这些类人型的“劳动力解决方案”外表与人类几乎无异。几乎。
生化人的出现永久地改变了世界。 公司和富人争先恐后地替换掉手下的劳工，工薪阶级纷纷失业。不但如此，生化人还能超越人类的身体能力，可以在人类无法承受的恶劣条件下工作。哈斯生化金技体育分部的人造运动员，向大众展示了生化人优秀的反应速度、敏捷与力量。脑扫描图在网络空间同样可以使用。哈斯生化使用与生化人大脑相同的软件，制造出了能够自学习、自适应、智取入侵者的防火墙。
除生化人外，哈斯生化在神经元通道与义体方面的专利，使其在义肢设计与工业制造领域也占据着主导地位。 依靠超人的效率与精密工程，他们无论在地球还是月球都能保持价格优势。"
jinteki,人间会社,"生命是代码，而代码是可以改变的。从医学科技到生化武器，人间会社的生物科技帝国处处都在诠释着这一点。人间会社最为人知的一点是其对于克隆体生产的垄断：通过在劳动力市场上积极推出经过基因工程特制的克隆体，人间会社得以成为哈斯生化的竞争对手。坊间传言称人间会社会从动物基因组中提取想要的特性，但他们拒绝公开其商业秘密。
对人间会社来说，保守秘密绝非儿戏。尽管他们很少会主动去做一些见不得人的脏活，但他们在为没有戒备的潜袭者设下陷阱、激活危险的防火墙时从不心慈手软。又一个逆法者被自己的设备炸死是一桩悲剧事件，但绝不是刑事案件。
潜袭者常常讲述自己对人间会社进行潜袭的故事：处处都会遇到阻碍，仿佛有人能够预知自己的一举一动。有人说人间会社利用其克隆体项目来研究人类灵能的潜力，但严肃的科学家认为这种说法并不成立。
人间会社对此不置可否。"
nbn,网际传媒,"网际传媒是全世界最大的新闻与娱乐集团。无论你要做什么，都得通过网际传媒。它是你获取新闻的媒介，是你检索信息的平台，也是你与好友聊天的渠道。它是你所看的、所玩的内容。网际传媒的增强现实空间，是将你与月球恶劣的生活环境隔开来的唯一屏障。甚至就连孩子的教育也离不开网际传媒。这一切产生了海量的数据，销售这些数据又产生了海量的利润。通过这些平台，网际传媒已经确立了自身对全球生活乃至地外生活都不可或缺的地位。
但网际传媒能获得如此的地位，其最大的原因却是一件无处不在以至于难以察觉的东西：那就是所有的公网流量都要经过网际传媒。想挑战他们对媒体的控制是一场危险的游戏——你可能会发现自己的银行帐户被清空、医保失效、73级的术士号突然被注销。 但这不也挺好吗？ 毕竟，生活怎么能没有网际传媒呢？"
neutral_corp,中立公司,
neutral_runner,中立潜袭者,
shaper,塑造者,"塑造者进行潜袭。
他们潜袭不是为了金钱，也不是为了改变。他们潜袭，只因他们能做得到。他们潜袭是为了出名，为了乐趣。他们潜袭，是因为对他们来说，潜袭是自我表现的最纯粹的形式。潜袭是一项挑战，如何调校出最完美的程序，如何找到问题最高效的解决方案。尽管他们可能要花上一些时间才能找到最优解，可一旦成功，他们便能够攻破任何服务器。 至于服务器的内容，那并不重要。
重要的是潜袭本身。"
sunny_lebeau,桑妮·勒博,
weyland_consortium,威兰财团,"金钱即权力，权力即金钱。没有人知道威兰财团的掌控范围到底有多大，但他们一直在从中获利。作为全世界最大的企业集团，威兰财团旗下——在有形与无形中——拥有着上百家巨型公司。银行、安保、军火、采矿、建造，无一不在他们的管辖范围之内。无论什么情况下，威兰财团都能拔得头筹。
名为“豆茎”的太空电梯高耸入云，直达大气层之外，将威兰财团的影响力从全球带到了太空轨道以及月球。人类的征途是星辰大海，而威兰财团将会不惜一切代价达到这一目标。
与财团为敌的人，尽管为数众多，却往往活不长久。楼房倒塌、无人机误伤、头部中弹的尸体……然而责任从来都不是威兰财团的，因为他们从来都不在现场：执行黑色行动的特工与威兰的公关团队会确保这一点。威兰财团永远居于幕后，操纵着时局，以确保他们对世界的愿景永远不受动摇。"